"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Jan 08 16:22:25 UTC 2026","Thu Jan 08 16:22:25 UTC 2026","204","Surefire suite","Surefire test","tests.CartLogicTest","tests.CartLogicTest","addRemoveItemsTest","Añadir y Quitar Productos (Badge Count)","Verifica que el contador rojo del carrito aumente y disminuya correctamente."
"broken","Thu Jan 08 16:22:25 UTC 2026","Thu Jan 08 16:22:25 UTC 2026","203","Surefire suite","Surefire test","tests.LogoutTest","tests.LogoutTest","logoutTest","Logout Exitoso","Verifica que el usuario pueda cerrar sesión y sea redirigido al login."
"broken","Thu Jan 08 16:22:25 UTC 2026","Thu Jan 08 16:22:25 UTC 2026","208","Surefire suite","Surefire test","tests.LoginDataTest","tests.LoginDataTest","loginDataDrivenTest","DDT: Verificar login con diferentes tipos de usuario","Ejecuta el mismo test repetidas veces con distintas combinaciones de usuario/contraseña."
"broken","Thu Jan 08 16:22:24 UTC 2026","Thu Jan 08 16:22:25 UTC 2026","224","Surefire suite","Surefire test","tests.LoginDataTest","tests.LoginDataTest","loginDataDrivenTest","DDT: Verificar login con diferentes tipos de usuario","Ejecuta el mismo test repetidas veces con distintas combinaciones de usuario/contraseña."
"broken","Thu Jan 08 16:22:26 UTC 2026","Thu Jan 08 16:22:26 UTC 2026","203","Surefire suite","Surefire test","tests.LoginTest","tests.LoginTest","lockedUserTest","Validar Login Fallido (Usuario Bloqueado)","Verifica que aparezca el mensaje de error correcto."
"broken","Thu Jan 08 16:22:21 UTC 2026","Thu Jan 08 16:22:24 UTC 2026","3269","Surefire suite","Surefire test","tests.LoginDataTest","tests.LoginDataTest","loginDataDrivenTest","DDT: Verificar login con diferentes tipos de usuario","Ejecuta el mismo test repetidas veces con distintas combinaciones de usuario/contraseña."
"broken","Thu Jan 08 16:22:24 UTC 2026","Thu Jan 08 16:22:24 UTC 2026","239","Surefire suite","Surefire test","tests.LoginDataTest","tests.LoginDataTest","loginDataDrivenTest","DDT: Verificar login con diferentes tipos de usuario","Ejecuta el mismo test repetidas veces con distintas combinaciones de usuario/contraseña."
"broken","Thu Jan 08 16:22:25 UTC 2026","Thu Jan 08 16:22:26 UTC 2026","201","Surefire suite","Surefire test","tests.ShoppingTest","tests.ShoppingTest","completePurchaseTest","E2E: Compra exitosa de un producto","Flujo completo: Login -> Agregar Mochila -> Checkout -> Finalizar."
"broken","Thu Jan 08 16:22:26 UTC 2026","Thu Jan 08 16:22:26 UTC 2026","197","Surefire suite","Surefire test","tests.ProductsTest","tests.ProductsTest","validatePriceSorting","Validar Ordenamiento por Precio (Low to High)","Verifica que al seleccionar 'Price (low to high)', los productos se ordenen matemáticamente correcto."
"broken","Thu Jan 08 16:22:25 UTC 2026","Thu Jan 08 16:22:25 UTC 2026","206","Surefire suite","Surefire test","tests.CheckoutTest","tests.CheckoutTest","checkoutMissingZipCodeTest","Error al comprar sin Código Postal","Valida que el sistema bloquee la compra si falta el Zip Code."
"broken","Thu Jan 08 16:22:26 UTC 2026","Thu Jan 08 16:22:26 UTC 2026","200","Surefire suite","Surefire test","tests.LoginTest","tests.LoginTest","successfulLoginTest","Validar Login Exitoso","Verifica que un usuario estándar pueda ingresar al inventario."
